NAME,Series10_FerretNW_Ctl_d1_1,Series10_FerretNW_Ctl_d1_2,Series10_FerretNW_SARSCoV2_d1_1,Series10_FerretNW_SARSCoV2_d1_2,Series11_FerretNW_Ctl_d3_1,Series11_FerretNW_Ctl_d3_2,Series11_FerretNW_SARSCoV2_d3_1,Series11_FerretNW_SARSCoV2_d3_2,Series12_FerretNW_Ctl_d7_1,Series12_FerretNW_Ctl_d7_2,Series12_FerretNW_SARSCoV2_d7_1,Series12_FerretNW_SARSCoV2_d7_2,Series12_FerretNW_IAV_d7_1,Series12_FerretNW_IAV_d7_2,Series13_FerretNW_Ctl_d14_1,Series13_FerretNW_Ctl_d14_2,Series13_FerretNW_SARSCoV2_d14_1,Series13_FerretNW_SARSCoV2_d14_2
ENSMPUG00000011534,0,0,0,5,0,0,0,3,1,0,0,4,3,0,0,40,29,0
ENSMPUG00000032075,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,13,6
ENSMPUG00000011550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMPUG00000011558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,12
ENSMPUG00000011565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ENSMPUG00000011568,0,0,0,0,0,0,35,0,0,0,12,10,0,0,2,282,274,40
ENSMPUG00000011583,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,3
ENSMPUG00000011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4
ENSMPUG00000027641,1,0,7,3,2,0,0,0,2,0,0,0,0,0,0,46,80,14
ENSMPUG00000020774,0,0,0,2,3,3,0,0,0,0,0,0,1,0,0,0,2,0
ENSMPUG00000011596,12,18,90,222,44,84,42,12,230,128,67,356,33,34,1,1433,1356,70
ENSMPUG00000011604,42,62,287,909,130,285,167,80,770,222,223,362,161,56,19,1057,1256,138
ENSMPUG00000011611,47,91,515,1749,113,564,199,123,1041,240,214,565,91,78,26,1653,1751,88
ENSMPUG00000011627,3,15,130,170,44,80,62,30,121,73,90,287,52,12,21,2103,2243,46
ENSMPUG00000011634,0,0,4,0,0,6,2,0,2,4,0,22,1,1,0,137,131,23
