NAME,Treatment,Group,Subgroup,Order
Series10_FerretNW_Ctl_d1_1,Ctl,A,FerretNW_d1,1
Series10_FerretNW_Ctl_d1_2,Ctl,A,FerretNW_d1,1
Series10_FerretNW_SARSCoV2_d1_1,Stw,B,FerretNW_d1,2
Series10_FerretNW_SARSCoV2_d1_2,Stw,B,FerretNW_d1,2
Series11_FerretNW_Ctl_d3_1,Ctl,C,FerretNW_d3,1
Series11_FerretNW_Ctl_d3_2,Ctl,C,FerretNW_d3,1
Series11_FerretNW_SARSCoV2_d3_1,Stw,D,FerretNW_d3,2
Series11_FerretNW_SARSCoV2_d3_2,Stw,D,FerretNW_d3,2
Series12_FerretNW_Ctl_d7_1,Ctl,E,FerretNW_d7,2
Series12_FerretNW_Ctl_d7_2,Ctl,E,FerretNW_d7,2
Series12_FerretNW_SARSCoV2_d7_1,Stw,F,FerretNW_d7,1
Series12_FerretNW_SARSCoV2_d7_2,Stw,F,FerretNW_d7,1
Series12_FerretNW_IAV_d7_1,IAV,G,FerretNW_d7,3
Series12_FerretNW_IAV_d7_2,IAV,G,FerretNW_d7,3
Series13_FerretNW_Ctl_d14_1,Ctl,H,FerretNW_d14,1
Series13_FerretNW_Ctl_d14_2,Ctl,H,FerretNW_d14,1
Series13_FerretNW_SARSCoV2_d14_1,Stw,I,FerretNW_d14,2
Series13_FerretNW_SARSCoV2_d14_2,Stw,I,FerretNW_d14,2
